artifact,model,split,source_data,generating_script,parameters_source,status,notes
outputs/audits/dataset_integrity.json,N/A,full,data/raw/tb_mes.xlsx,scripts/audit_dataset.py,N/A,COMPLETE,"Pre-existing non-destructive audit; re-verified this session, output byte-identical (264/240/24, 0 anomalies)."
outputs/audits/population_exogenous_series.csv,N/A,full,data/raw/tb_mes.xlsx,scripts/build_population_exogenous_series.py,docs/EXTERNAL_PARAMETER_CONTRACT.md Sec 2-3,COMPLETE,"Calibration months use dataset populacao directly; validation months use log-linear extrapolation fit on 2001-2020 only (PROVENANCE_REQUIRED substitute, no leakage)."
outputs/audits/population_exogenous_series_trend.json,N/A,calibration-fit,data/raw/tb_mes.xlsx,scripts/build_population_exogenous_series.py,docs/EXTERNAL_PARAMETER_CONTRACT.md Sec 2-3,COMPLETE,"ln(N(t)) = 18.9923934417 + 0.0008140043*t_months, t_months since 2001-01, fit on calibration only."
outputs/model_constants.json,N/A,calibration,data/raw/tb_mes.xlsx,scripts/compute_constants_and_initial_conditions.py,docs/EXTERNAL_PARAMETER_CONTRACT.md Sec 2/4,COMPLETE,"mu=1/(74*12); Lambda=mu*mean(N_train)."
outputs/initial_conditions.json,N/A,t0=2001-01,data/raw/tb_mes.xlsx,scripts/compute_constants_and_initial_conditions.py,docs/MODEL_CONTRACT.md Sec 5,COMPLETE,"Illustrates the analytic S0/E0/I0/T0 construction at a fixed bounds-midpoint reference parameter vector; not a fitted result. Real calibration recomputes E0/I0 per DE candidate."
outputs/audits/numerical_convergence.csv,fractional+integer,calibration (240 months),data/raw/tb_mes.xlsx,scripts/numerical_convergence_check.py,docs/MODEL_CONTRACT.md Sec 7,COMPLETE,"Fixed arbitrary reference parameter vector (bounds midpoint; alpha=0.75 fractional / alpha=1.0 integer), never a fitted value. Max relative difference h=1 vs h=1/4: 0.51% (fractional), 0.38% (integer) -- well under the 1% threshold, so h=1 month is frozen as the primary step."
outputs/calibration/fractional_multiseed.csv,fractional,calibration,data/raw/tb_mes.xlsx,scripts/run_calibration_multiseed.py,docs/METHOD_DECISION_LOG.md D024,COMPLETE,"5 seeds (20260815-20260819); all success=True; objective (RMSE) range 605.05-610.39 (CV 0.35%)."
outputs/calibration/integer_multiseed.csv,integer,calibration,data/raw/tb_mes.xlsx,scripts/run_calibration_multiseed.py,docs/METHOD_DECISION_LOG.md D024,COMPLETE,"5 seeds (20260815-20260819); all success=True; alpha=1.0 exactly in every row; objective range 773.34-782.88."
outputs/calibration/fractional_parameters.csv,fractional,calibration,data/raw/tb_mes.xlsx,scripts/run_calibration_multiseed.py,seed=20260815 row of fractional_multiseed.csv,COMPLETE,"Primary estimate; NEVER argmin(objective) -- see tests/test_seed_contract.py::test_primary_result_selection_uses_seed_not_min_objective."
outputs/calibration/integer_parameters.csv,integer,calibration,data/raw/tb_mes.xlsx,scripts/run_calibration_multiseed.py,seed=20260815 row of integer_multiseed.csv,COMPLETE,"Primary estimate, independently re-estimated (never reused from fractional_parameters.csv)."
outputs/calibration/fractional_predictions.csv,fractional,calibration,data/raw/tb_mes.xlsx,scripts/run_calibration_multiseed.py,outputs/calibration/fractional_parameters.csv,COMPLETE,"240 monthly rows, flow-based observation model."
outputs/calibration/integer_predictions.csv,integer,calibration,data/raw/tb_mes.xlsx,scripts/run_calibration_multiseed.py,outputs/calibration/integer_parameters.csv,COMPLETE,"240 monthly rows, flow-based observation model."
outputs/calibration/calibration_metrics.csv,fractional+integer,calibration,data/raw/tb_mes.xlsx,scripts/compute_calibration_metrics.py,outputs/calibration/*_predictions.csv,COMPLETE,"fractional RMSE=605.05/MAE=486.51/bias=-3.81; integer RMSE=776.06/MAE=616.16/bias=171.24."
outputs/validation/fractional_predictions.csv,fractional,validation,data/raw/tb_mes.xlsx,scripts/run_validation.py,outputs/calibration/fractional_parameters.csv (frozen),COMPLETE,"24 monthly rows, 2021-01..2022-12, open-loop, no refit/reinit, N_external(t) from log-linear extrapolation only."
outputs/validation/integer_predictions.csv,integer,validation,data/raw/tb_mes.xlsx,scripts/run_validation.py,outputs/calibration/integer_parameters.csv (frozen),COMPLETE,"Same protocol as fractional_predictions.csv."
outputs/validation/validation_metrics.csv,fractional+integer,validation,data/raw/tb_mes.xlsx,scripts/run_validation.py,outputs/calibration/*_parameters.csv,COMPLETE,"fractional RMSE=1117.96/MAE=953.23/bias=-851.15; integer RMSE=1759.54/MAE=1588.65/bias=-1588.65."
outputs/sensitivity/alpha_bound_sensitivity.csv,fractional,calibration+validation,data/raw/tb_mes.xlsx,scripts/run_alpha_sensitivity.py,seed=20260815,COMPLETE,"alpha bound [0.70,1.00] -> fitted alpha=0.9623 (vs 0.9640 under primary [0.50,1.00]); validation RMSE=1160.80 (vs 1117.96 primary)."
outputs/audits/parameter_robustness.csv,fractional,calibration,outputs/calibration/fractional_multiseed.csv,scripts/parameter_robustness_and_kill_test.py,docs/MODEL_CONTRACT.md Sec 11,COMPLETE,"beta/gamma/d CV 58-82% (weakly identified); sigma/alpha CV <0.6% (well identified); objective CV 0.35%."
outputs/audits/fractional_memory_kill_test.md,fractional+integer,calibration+validation,"outputs/calibration/*, outputs/validation/*",scripts/parameter_robustness_and_kill_test.py,docs/MODEL_CONTRACT.md Sec 15,COMPLETE,"See BASE_MODEL_REIMPLEMENTATION_REPORT.md for the classified verdicts (parameter_identifiability/alpha_behavior/integer_comparator)."
